group	time_point	batch
b1_1_2	M	1	batch_1
b1_1_3	M	1	batch_1
b1_1_6	M_LAC	1	batch_1
b1_1_7	M_LAC	1	batch_1
b1_11_2	M	11	batch_1
b1_11_3	M	11	batch_1
b1_11_6	M_LAC	11	batch_1
b1_11_7	M_LAC	11	batch_1
b1_15_2	M	15	batch_1
b1_15_3	M	15	batch_1
b1_15_6	M_LAC	15	batch_1
b1_15_7	M_LAC	15	batch_1
b1_18_2	M	18	batch_1
b1_18_3	M	18	batch_1
b1_18_6	M_LAC	18	batch_1
b1_18_7	M_LAC	18	batch_1
b1_22_2	M	22	batch_1
b1_22_3	M	22	batch_1
b1_22_6	M_LAC	22	batch_1
b1_22_7	M_LAC	22	batch_1
b1_4_2	M	4	batch_1
b1_4_3	M	4	batch_1
b1_4_6	M_LAC	4	batch_1
b1_4_7	M_LAC	4	batch_1
b1_8_2	M	8	batch_1
b1_8_3	M	8	batch_1
b1_8_6	M_LAC	8	batch_1
b1_8_7	M_LAC	8	batch_1
b2_1_2	M	1	batch_2
b2_1_3	M	1	batch_2
b2_1_4	M_BIF	1	batch_2
b2_1_5	M_BIF	1	batch_2
b2_11_2	M	11	batch_2
b2_11_3	M	11	batch_2
b2_11_4	M_BIF	11	batch_2
b2_11_5	M_BIF	11	batch_2
b2_15_2	M	15	batch_2
b2_15_3	M	15	batch_2
b2_15_4	M_BIF	15	batch_2
b2_15_5	M_BIF	15	batch_2
b2_18_2	M	18	batch_2
b2_18_3	M	18	batch_2
b2_18_4	M_BIF	18	batch_2
b2_18_5	M_BIF	18	batch_2
b2_22_2	M	22	batch_2
b2_22_3	M	22	batch_2
b2_22_4	M_BIF	22	batch_2
b2_22_5	M_BIF	22	batch_2
b2_4_2	M	4	batch_2
b2_4_3	M	4	batch_2
b2_4_4	M_BIF	4	batch_2
b2_4_5	M_BIF	4	batch_2
b2_8_2	M	8	batch_2
b2_8_3	M	8	batch_2
b2_8_4	M_BIF	8	batch_2
b2_8_5	M_BIF	8	batch_2
b3_15_2	M	1	batch_3
b3_15_3	M_LAC	1	batch_3
b3_15_4	M_BIF	1	batch_3
b3_18_2	M	4	batch_3
b3_18_3	M_LAC	4	batch_3
b3_18_4	M_BIF	4	batch_3
b3_22_2	M	8	batch_3
b3_22_3	M_LAC	8	batch_3
b3_22_4	M_BIF	8	batch_3
b3_25_2	M	11	batch_3
b3_25_3	M_LAC	11	batch_3
b3_25_4	M_BIF	11	batch_3
b3_29_2	M	15	batch_3
b3_29_3	M_LAC	15	batch_3
b3_29_4	M_BIF	15	batch_3
b3_32_2	M	18	batch_3
b3_32_3	M_LAC	18	batch_3
b3_32_4	M_BIF	19	batch_3
b3_36_2	M	22	batch_3
b3_36_3	M_LAC	22	batch_3
b3_36_4	M_BIF	22	batch_3
